customer_id,full_name,email,city,registration_date,loyalty_tier
CUST-0061,Customer 61,user61@example.com,Hai Phong,2025-05-16,Silver
CUST-0062,Customer 62,user62@example.com,Da Nang,2025-02-05,Silver
CUST-0063,Customer 63,user63@example.com,Da Nang,2025-05-26,Silver
CUST-0064,Customer 64,user64@example.com,Can Tho,2025-10-06,Gold
CUST-0065,Customer 65,user65@example.com,Hai Phong,2025-09-28,Bronze
CUST-0066,Customer 66,user66@example.com,Hai Phong,2025-06-03,Bronze
CUST-0067,Customer 67,user67@example.com,Ha Noi,2025-05-16,Bronze
CUST-0068,Customer 68,user68@example.com,Ho Chi Minh,2025-10-11,Silver
CUST-0069,Customer 69,user69@example.com,Da Nang,2025-05-25,Silver
CUST-0070,Customer 70,user70@example.com,Da Nang,2025-04-15,Gold
CUST-0071,Customer 71,user71@example.com,Hai Phong,2025-09-08,Gold
CUST-0072,Customer 72,user72@example.com,Ho Chi Minh,2025-02-17,Platinum
CUST-0073,Customer 73,user73@example.com,Da Nang,2025-01-23,Bronze
CUST-0074,Customer 74,user74@example.com,Da Nang,2025-03-08,Gold
CUST-0075,Customer 75,user75@example.com,Ha Noi,2025-08-15,Platinum
CUST-0076,Customer 76,user76@example.com,Hai Phong,2025-01-05,Bronze
CUST-0077,Customer 77,user77@example.com,Ho Chi Minh,2025-03-18,Bronze
CUST-0078,Customer 78,user78@example.com,Da Nang,2025-10-26,Silver
CUST-0079,Customer 79,user79@example.com,Can Tho,2025-03-07,Bronze
CUST-0080,Customer 80,user80@example.com,Da Nang,2025-07-06,Bronze
CUST-0081,Customer 81,user81@example.com,Da Nang,2025-04-18,Silver
CUST-0082,Customer 82,user82@example.com,Ho Chi Minh,2025-07-01,Platinum
CUST-0083,Customer 83,user83@example.com,Hai Phong,2025-03-21,Silver
CUST-0084,Customer 84,user84@example.com,Ha Noi,2025-04-01,Platinum
CUST-0085,Customer 85,user85@example.com,Ho Chi Minh,2025-04-02,Gold
CUST-0086,Customer 86,user86@example.com,Can Tho,2025-05-08,Gold
CUST-0087,Customer 87,user87@example.com,Ha Noi,2025-02-25,Platinum
CUST-0088,Customer 88,user88@example.com,Ho Chi Minh,2025-08-29,Silver
CUST-0089,Customer 89,user89@example.com,Ha Noi,2025-08-24,Gold
CUST-0090,Customer 90,user90@example.com,Da Nang,2025-04-27,Silver
CUST-0091,Customer 91,user91@example.com,Ho Chi Minh,2025-04-09,Platinum
CUST-0092,Customer 92,user92@example.com,Da Nang,2025-05-23,Bronze
CUST-0093,Customer 93,user93@example.com,Da Nang,2025-06-29,Platinum
CUST-0094,Customer 94,user94@example.com,Hai Phong,2025-06-19,Bronze
CUST-0095,Customer 95,user95@example.com,Ho Chi Minh,2025-05-14,Silver
CUST-0096,Customer 96,user96@example.com,Hai Phong,2025-05-16,Bronze
CUST-0097,Customer 97,user97@example.com,Ho Chi Minh,2025-08-11,Gold
CUST-0098,Customer 98,user98@example.com,Da Nang,2025-08-12,Bronze
CUST-0099,Customer 99,user99@example.com,Can Tho,2025-10-23,Silver
CUST-0100,Customer 100,user100@example.com,Da Nang,2025-01-23,Platinum
